age,gender,address,family_size,parent_status,mother_education,father_education,mother_job,father_job,study_time,past_failures,extra_support,family_support,paid_classes,activities,nursery,higher_ed_aspiration,internet_access,romantic,travel_time,free_time,go_out,dalc,walc,health,absences,G1,G2,login_frequency,assignment_submission_rate,attendance_rate,engagement_score,forum_posts,resource_access,G3,grade_label,pass_fail
19,F,Urban,LE3,Together,2,3,teacher,at_home,1,0,1,0,0,1,1,1,1,0,4,5,5,2,4,4,3.0,17.0,18.0,23.0,0.8836488076338928,0.8858349422196214,9.394356219137794,11.0,27.0,20.0,A,1
22,F,Urban,GT3,Together,4,2,other,other,2,0,0,1,0,0,1,1,1,1,4,1,2,1,2,2,0.0,17.0,18.0,19.0,0.931673509041822,0.8732157488076526,7.566245882309982,13.0,30.0,20.0,A,1
20,F,Rural,GT3,Together,3,3,other,other,1,1,0,1,1,0,0,1,1,1,3,4,1,2,3,2,1.0,8.0,6.0,8.0,0.3159670064905572,0.4660056320241611,4.5511513535002,9.0,16.0,7.0,F,0
21,F,Urban,GT3,Together,2,1,health,services,2,0,1,1,1,0,0,1,0,0,3,5,2,1,1,1,0.0,13.0,12.0,19.0,0.776441410754091,0.7110316214532094,5.343677318317825,14.0,43.0,17.0,A,1
20,M,Rural,LE3,Together,4,4,at_home,other,3,2,0,1,0,1,1,1,1,1,3,2,5,1,1,5,9.0,13.0,15.0,13.0,0.6713497027154075,0.815140631896459,4.432066159809231,16.0,45.0,15.0,B,1
21,F,Urban,GT3,Together,3,1,services,other,2,1,1,1,1,1,1,1,0,0,2,3,5,2,3,5,5.0,10.0,9.0,13.0,0.5931374852554836,0.6968642078978194,3.8180054214821606,11.0,33.0,11.0,D,1
19,F,Rural,GT3,Together,1,3,at_home,other,3,1,1,1,0,1,0,0,1,0,1,3,4,1,2,2,3.0,12.0,9.0,16.0,0.4788736147958302,0.7402281712037082,6.958171563829339,10.0,31.0,14.0,B,1
16,M,Urban,LE3,Together,4,4,other,services,1,0,0,1,1,0,1,1,1,1,2,4,4,5,4,4,3.0,17.0,19.0,22.0,0.7452924235274899,0.8314936471873333,6.522031553652739,11.0,44.0,20.0,A,1
21,M,Urban,LE3,Apart,2,2,other,other,1,1,0,0,0,1,0,1,1,0,1,4,2,5,3,2,0.0,18.0,17.0,19.0,0.7383599049878469,0.6785759448872162,10.0,13.0,41.0,16.0,A,1
18,M,Urban,LE3,Together,3,2,services,other,3,2,1,1,0,1,1,1,1,0,3,5,3,1,3,4,0.0,15.0,17.0,15.0,0.68182060791525,0.6887534452870181,8.731133850280447,17.0,40.0,18.0,A,1
19,F,Rural,GT3,Together,3,4,other,services,3,1,1,1,1,0,1,1,1,0,2,3,2,2,2,1,1.0,11.0,11.0,17.0,0.40687611884650565,0.516554681661545,7.5429507382917595,11.0,22.0,13.0,C,1
17,M,Urban,GT3,Together,3,2,at_home,other,3,0,1,1,1,0,1,1,0,1,1,5,2,2,4,2,0.0,15.0,15.0,20.0,0.6333510103914688,0.6776616250262084,8.866403450446903,12.0,47.0,18.0,A,1
16,F,Urban,GT3,Together,4,0,services,other,3,0,1,0,1,0,1,0,0,0,3,3,4,1,5,2,5.0,14.0,17.0,16.0,0.7690832524186162,0.7119006487343195,8.244522356015496,11.0,42.0,19.0,A,1
22,M,Urban,GT3,Together,0,3,health,at_home,3,0,1,1,1,1,0,1,1,1,1,2,3,1,1,5,0.0,18.0,16.0,18.0,0.9106905304301758,0.8531031806175045,7.430914018940991,11.0,31.0,20.0,A,1
21,F,Rural,LE3,Together,4,0,other,other,3,0,1,0,1,0,1,1,1,0,4,4,3,5,2,3,10.0,13.0,16.0,17.0,0.5220828683578171,0.7289566877849554,8.935061645954796,15.0,35.0,19.0,A,1
20,M,Urban,LE3,Apart,3,4,health,at_home,3,1,1,1,1,0,1,1,1,0,4,3,2,1,4,2,12.0,14.0,13.0,13.0,0.47831992439394205,0.7336733750826303,6.182633875724138,11.0,40.0,15.0,B,1
18,F,Urban,LE3,Together,4,3,other,other,3,1,0,0,0,1,1,1,1,1,2,4,4,2,1,1,2.0,11.0,12.0,17.0,0.6098396901937089,0.7653018636603224,3.929095394963041,14.0,40.0,14.0,B,1
21,M,Urban,GT3,Together,4,3,health,other,1,0,0,1,0,1,0,1,0,0,2,4,3,2,2,1,13.0,11.0,12.0,18.0,0.6473860030415717,0.48847158627664156,6.432214485814376,11.0,27.0,11.0,D,1
19,F,Rural,GT3,Together,4,2,other,teacher,1,0,0,1,1,0,1,1,1,1,1,1,1,1,5,2,4.0,14.0,14.0,15.0,0.7028834882119229,0.5593196041723142,4.727823931370089,15.0,33.0,15.0,B,1
18,F,Urban,GT3,Together,3,3,health,teacher,2,2,1,0,1,1,1,1,1,1,2,3,4,2,2,2,3.0,9.0,8.0,15.0,0.6380651701925597,0.575901632318305,5.826941995629479,6.0,20.0,8.0,F,0
18,F,Urban,GT3,Apart,3,3,other,services,2,0,0,0,1,0,0,1,1,1,3,1,2,4,5,1,1.0,13.0,13.0,18.0,0.5351038940037416,0.6863761295119468,8.887633788248667,9.0,29.0,17.0,A,1
16,F,Rural,LE3,Together,3,1,other,other,3,0,1,0,0,1,0,1,1,1,1,3,3,1,2,4,2.0,18.0,16.0,21.0,0.7634356738300441,0.7973247489162955,8.476039914217175,12.0,31.0,20.0,A,1
15,M,Urban,LE3,Together,3,4,teacher,services,2,1,1,1,0,0,0,1,1,0,1,4,5,1,2,2,1.0,18.0,20.0,25.0,0.9855656998111675,0.9734982542845904,6.752760503432563,13.0,29.0,20.0,A,1
19,M,Urban,LE3,Apart,3,3,other,other,2,1,0,1,0,0,1,0,1,1,1,4,4,1,2,2,5.0,11.0,10.0,12.0,0.5836240466005465,0.4889127256661522,3.8392975611932347,14.0,26.0,11.0,D,1
22,M,Urban,GT3,Together,4,4,other,at_home,3,0,0,1,1,1,1,1,1,0,2,1,1,3,2,3,2.0,19.0,20.0,25.0,0.884492687765869,0.9058358104022228,7.631930950377362,18.0,41.0,20.0,A,1
15,M,Urban,GT3,Together,1,2,services,services,2,0,1,1,0,0,1,1,1,0,2,5,4,2,5,2,7.0,12.0,14.0,12.0,0.7814945792313865,0.8020781468633376,4.6288258304603,11.0,39.0,14.0,B,1
21,F,Urban,GT3,Together,4,1,health,other,3,0,0,1,1,1,1,1,1,0,1,4,2,2,3,4,0.0,19.0,20.0,21.0,0.8011159837510481,0.8675060573385422,8.698466516067143,16.0,42.0,20.0,A,1
21,F,Urban,LE3,Apart,2,3,other,at_home,1,0,1,0,0,0,1,1,1,1,1,2,4,3,5,3,8.0,17.0,17.0,20.0,0.6500115413241245,0.8264747120277353,9.015492218227424,14.0,34.0,20.0,A,1
17,F,Rural,LE3,Together,4,4,other,services,2,1,0,1,0,0,0,1,1,0,3,3,2,5,2,5,6.0,13.0,14.0,13.0,0.5177308114296384,0.559749806407585,7.34069173321221,13.0,32.0,13.0,C,1
20,F,Rural,GT3,Together,2,2,services,teacher,2,1,0,1,1,1,1,1,1,0,1,1,3,1,5,4,1.0,12.0,13.0,17.0,0.7251553032150901,0.6110049168686711,6.835992703154436,8.0,39.0,15.0,B,1
16,F,Urban,GT3,Apart,2,0,other,health,2,0,1,0,0,1,0,1,1,0,1,2,4,3,3,2,3.0,12.0,12.0,15.0,0.7199319363392378,0.5024194921296768,5.778032414688058,10.0,30.0,15.0,B,1
21,F,Urban,GT3,Apart,4,4,health,health,1,0,0,1,1,1,0,1,1,0,1,4,1,1,1,1,17.0,12.0,9.0,13.0,0.44935741990411693,0.612962896945802,4.01364608218377,7.0,30.0,10.0,D,1
20,M,Urban,GT3,Together,4,2,teacher,services,2,0,0,1,0,1,1,1,1,1,3,5,1,1,2,1,4.0,16.0,13.0,18.0,0.6674749707090633,0.7483922434032924,7.53889826435212,16.0,26.0,20.0,A,1
17,M,Rural,GT3,Together,4,2,other,other,2,0,0,1,0,0,1,1,1,0,1,3,4,1,1,4,1.0,19.0,20.0,19.0,0.8871981074342425,1.0,7.946738831187761,15.0,29.0,20.0,A,1
15,F,Urban,GT3,Together,4,3,teacher,services,2,0,0,1,1,0,1,1,1,1,1,2,1,1,1,1,6.0,19.0,15.0,17.0,0.6436619347498715,0.8440218069871477,6.627307385255673,16.0,49.0,20.0,A,1
22,F,Urban,GT3,Together,2,1,services,teacher,3,0,1,0,1,0,1,1,1,1,2,5,5,4,5,2,3.0,17.0,18.0,17.0,0.9095837167658947,0.6696448896937209,8.546431360320941,18.0,33.0,20.0,A,1
18,M,Urban,GT3,Apart,4,1,at_home,services,1,1,0,1,0,1,1,1,1,0,1,3,3,2,5,1,2.0,13.0,13.0,19.0,0.6016073894682453,0.7724703188416797,5.792680237419587,10.0,28.0,16.0,A,1
22,M,Urban,GT3,Together,3,0,services,at_home,2,0,0,0,0,0,1,1,1,0,4,4,1,2,1,2,1.0,15.0,16.0,20.0,0.8447158138746398,0.702646884389426,5.491651775712748,10.0,26.0,17.0,A,1
20,F,Urban,GT3,Together,3,4,health,other,1,1,0,1,1,0,1,1,1,0,3,4,4,1,1,5,10.0,13.0,11.0,15.0,0.6860268293211363,0.7042815079887016,6.0175678633755485,10.0,31.0,13.0,C,1
21,M,Rural,LE3,Apart,3,2,other,services,4,0,0,0,1,1,1,1,1,0,2,2,5,1,2,1,0.0,16.0,17.0,20.0,0.6807339962585425,0.71545855783232,6.395913707803954,15.0,43.0,20.0,A,1
21,M,Urban,GT3,Together,0,3,at_home,teacher,3,1,0,1,1,0,1,1,1,0,2,1,1,4,4,5,0.0,9.0,10.0,14.0,0.5833009757148012,0.6368174476191085,6.517443639234922,10.0,31.0,12.0,C,1
16,F,Rural,LE3,Together,3,4,other,other,4,3,1,1,1,1,0,1,1,0,1,4,5,3,3,5,19.0,9.0,14.0,12.0,0.6617467620359772,0.7519972019017807,3.6853357101349316,7.0,39.0,11.0,D,1
17,F,Urban,GT3,Together,4,3,other,other,4,0,0,0,0,0,1,1,1,1,2,5,3,2,3,5,11.0,20.0,20.0,19.0,0.808942076724256,0.7737957158211338,10.0,13.0,37.0,20.0,A,1
18,M,Rural,GT3,Together,2,3,at_home,other,2,0,1,0,1,0,0,1,1,0,1,5,4,1,3,4,4.0,18.0,20.0,22.0,0.7538074565250943,0.880808585650132,8.006731324466775,17.0,36.0,20.0,A,1
18,F,Rural,GT3,Apart,4,3,health,other,3,1,0,0,1,0,1,1,0,0,2,5,2,1,5,1,5.0,16.0,14.0,16.0,0.813199725644074,0.7496206055017608,4.579719151479448,15.0,47.0,16.0,A,1
15,M,Rural,GT3,Together,3,2,other,other,2,0,0,1,1,0,1,1,0,0,1,2,1,5,2,1,2.0,13.0,15.0,20.0,0.7272765642444515,0.6409313166917245,4.866812330715373,9.0,32.0,16.0,A,1
19,F,Urban,GT3,Together,2,3,health,other,4,0,0,1,1,1,1,1,1,1,2,5,5,1,1,5,2.0,20.0,20.0,20.0,0.958850631318072,0.8525023076679739,10.0,18.0,51.0,20.0,A,1
16,M,Urban,LE3,Together,3,4,health,other,2,0,1,0,1,0,1,0,1,0,1,1,4,1,3,2,15.0,11.0,12.0,15.0,0.5120693387003136,0.6765982304066309,6.135033336922571,10.0,33.0,14.0,B,1
20,F,Urban,LE3,Apart,2,4,other,teacher,2,2,1,1,1,1,1,1,1,1,2,2,2,2,5,3,4.0,9.0,10.0,12.0,0.585267908292485,0.4965333236503929,6.69272667764714,6.0,19.0,11.0,D,1
20,M,Urban,LE3,Together,1,3,other,other,4,0,0,1,0,1,0,1,1,0,1,4,2,4,3,1,0.0,15.0,18.0,21.0,0.8275072993701358,0.6454381620507805,9.363886069656324,13.0,49.0,20.0,A,1
22,M,Urban,GT3,Apart,4,2,other,other,3,0,1,1,0,0,1,1,0,1,1,2,4,1,4,1,1.0,17.0,18.0,23.0,0.7291462259517776,0.8995058603674666,6.8515268505381695,16.0,34.0,20.0,A,1
20,F,Rural,GT3,Apart,2,4,teacher,other,4,0,0,1,1,1,0,1,1,0,2,1,2,3,4,3,8.0,17.0,16.0,18.0,0.6721610181367467,0.8238078730822826,7.68458510256504,15.0,41.0,20.0,A,1
17,M,Rural,LE3,Together,2,2,teacher,at_home,1,0,1,1,1,1,1,1,1,0,2,1,4,1,1,3,0.0,12.0,11.0,11.0,0.5534881986207114,0.5488864506425022,6.701619809402443,11.0,24.0,14.0,B,1
22,M,Urban,GT3,Apart,4,4,at_home,other,2,0,1,1,0,0,0,1,1,0,4,5,1,2,3,4,1.0,17.0,19.0,21.0,0.8886822706118349,0.9734622977219523,9.607925492990038,13.0,41.0,20.0,A,1
18,M,Urban,GT3,Together,1,2,other,services,2,2,0,0,0,1,1,1,1,0,1,3,5,1,4,5,0.0,11.0,12.0,11.0,0.47025561689102985,0.7432784089441042,5.550446931827432,10.0,31.0,13.0,C,1
17,F,Rural,GT3,Together,4,3,at_home,other,2,1,0,0,1,0,1,1,1,1,1,1,4,4,1,1,1.0,11.0,9.0,10.0,0.6559918406424374,0.7143127571191232,7.758763897527507,9.0,22.0,12.0,C,1
22,F,Rural,GT3,Together,4,4,teacher,services,2,0,0,1,1,1,0,1,1,0,2,4,2,3,3,5,0.0,19.0,20.0,23.0,0.771846607728599,0.8874208986823893,8.885603415604505,15.0,54.0,20.0,A,1
17,F,Urban,LE3,Apart,2,3,health,other,2,0,1,1,1,0,1,1,1,0,1,2,3,5,2,5,3.0,12.0,10.0,11.0,0.6788717952229504,0.5280499466980311,7.669361548373722,11.0,20.0,13.0,C,1
15,M,Urban,GT3,Apart,3,2,other,other,3,1,0,0,0,1,1,1,1,0,3,2,1,2,4,3,2.0,14.0,15.0,14.0,0.562033345753611,0.6233987532410767,4.766790168357553,12.0,33.0,18.0,A,1
18,M,Rural,GT3,Apart,1,4,other,services,2,1,1,1,0,1,0,1,1,0,1,5,3,4,1,2,6.0,9.0,8.0,11.0,0.5563042434414258,0.6608070555042963,4.866711684224135,6.0,14.0,10.0,D,1
21,M,Urban,LE3,Apart,3,2,teacher,services,3,0,0,0,0,1,1,1,1,1,3,3,2,2,2,1,3.0,16.0,16.0,18.0,0.7564882228884764,0.8872485808120437,5.695847322379428,12.0,41.0,20.0,A,1
16,F,Urban,GT3,Together,1,2,teacher,services,3,0,1,1,1,1,1,1,1,0,2,1,2,2,3,2,5.0,14.0,13.0,19.0,0.7040106455906655,0.7610312252211604,8.609415643704814,9.0,32.0,18.0,A,1
18,F,Rural,GT3,Apart,4,3,health,other,2,0,0,1,0,0,1,1,1,1,1,5,5,1,3,4,4.0,19.0,20.0,20.0,1.0,0.8869044498301476,7.02493659676704,17.0,43.0,20.0,A,1
16,F,Rural,GT3,Apart,2,3,teacher,other,2,0,1,1,1,1,1,1,1,1,1,1,3,3,1,1,5.0,16.0,17.0,18.0,0.5958952575345328,0.7515722668141622,8.514900668572205,13.0,42.0,20.0,A,1
20,F,Rural,GT3,Together,4,3,at_home,other,2,0,0,1,1,0,1,1,0,0,2,4,1,1,1,5,9.0,12.0,15.0,18.0,0.5246944405634215,0.7497835364115284,4.364346922279391,13.0,39.0,15.0,B,1
18,M,Rural,GT3,Together,2,2,teacher,health,1,0,0,0,1,0,1,0,1,0,2,1,3,2,4,1,9.0,15.0,20.0,22.0,0.6401796808057841,0.6716086720788691,6.254223204447463,11.0,50.0,18.0,A,1
17,F,Urban,LE3,Together,2,3,other,other,3,0,0,0,1,0,1,1,1,0,1,2,1,2,5,4,4.0,20.0,20.0,21.0,0.8818729357716908,0.9072832830688328,7.599262402555207,15.0,52.0,20.0,A,1
16,M,Urban,GT3,Apart,3,4,other,other,2,1,1,0,1,1,1,1,1,0,2,5,3,3,3,5,1.0,13.0,16.0,18.0,0.7884825353126201,0.7748479297912667,8.259366614182285,10.0,30.0,18.0,A,1
19,M,Urban,GT3,Together,3,0,other,teacher,1,1,0,1,1,1,1,1,0,1,2,1,4,2,1,2,3.0,10.0,9.0,14.0,0.35168867683872984,0.6348779952144812,4.105833875418381,6.0,32.0,10.0,D,1
20,M,Urban,LE3,Together,4,3,other,services,4,1,1,0,0,0,1,1,1,0,2,5,1,2,3,3,7.0,15.0,18.0,17.0,0.8502923388845857,0.7715743423565273,9.034421964791076,16.0,27.0,20.0,A,1
22,M,Urban,LE3,Together,0,3,services,at_home,3,0,1,1,0,1,1,1,0,0,2,2,1,2,3,3,3.0,14.0,13.0,13.0,0.6240695381968193,0.7622917550447259,7.993053820348383,9.0,24.0,19.0,A,1
18,M,Urban,LE3,Together,0,4,teacher,services,3,0,0,0,1,1,0,1,1,1,3,2,2,2,2,4,0.0,17.0,17.0,21.0,0.9245000285423477,0.6812525100161344,10.0,12.0,37.0,20.0,A,1
16,M,Urban,GT3,Together,3,3,services,health,2,0,0,1,0,0,0,0,0,0,2,5,3,2,1,1,1.0,10.0,11.0,12.0,0.501443641965878,0.5112323942358825,6.535702448113708,9.0,27.0,14.0,B,1
21,M,Rural,GT3,Together,3,4,other,services,4,1,0,0,1,0,1,1,1,1,2,4,1,3,1,2,2.0,15.0,17.0,17.0,0.9046092818851992,0.6633838158070903,7.987188127811298,12.0,37.0,19.0,A,1
20,F,Urban,GT3,Apart,4,2,teacher,teacher,2,0,0,1,0,1,1,1,1,0,1,2,2,3,1,1,2.0,18.0,16.0,20.0,0.7897825409999149,0.7544513802093067,8.107679594783091,18.0,37.0,20.0,A,1
20,M,Urban,LE3,Together,4,2,services,health,2,0,0,1,1,1,0,1,0,0,1,4,4,2,3,2,8.0,13.0,12.0,13.0,0.7839976120336176,0.6095079077573462,4.2980956909864,15.0,35.0,16.0,A,1
15,M,Urban,LE3,Apart,4,4,services,services,4,2,1,1,0,0,1,1,1,0,1,3,3,1,2,4,10.0,11.0,12.0,12.0,0.623660083143813,0.5859318990041458,6.016110703001434,10.0,41.0,12.0,C,1
17,F,Urban,GT3,Together,2,4,health,other,4,2,0,1,1,0,0,1,1,0,1,1,3,1,2,3,1.0,16.0,16.0,18.0,0.6812175244318878,0.7597474674596082,9.0574144306681,11.0,28.0,19.0,A,1
21,F,Rural,GT3,Apart,3,3,other,at_home,2,0,0,1,0,0,1,1,1,1,3,2,1,3,2,3,2.0,20.0,18.0,24.0,0.9461930397718951,0.8484001206430765,5.804284002372929,15.0,37.0,20.0,A,1
21,F,Urban,GT3,Together,4,3,other,at_home,1,1,1,0,0,0,1,0,0,0,1,2,4,4,3,3,1.0,9.0,9.0,14.0,0.48543604468068735,0.5396415792995882,3.333275595167918,9.0,15.0,6.0,F,0
18,M,Urban,GT3,Together,2,3,at_home,other,2,0,0,1,0,0,1,1,1,1,2,3,3,1,3,1,3.0,17.0,17.0,18.0,0.7030827991791768,0.8782789993512958,8.102746312927025,14.0,30.0,20.0,A,1
21,F,Rural,GT3,Together,3,1,other,at_home,3,0,1,1,1,0,1,1,1,1,1,5,3,4,2,1,3.0,20.0,20.0,20.0,0.8674173913948657,0.7926050217094258,10.0,12.0,55.0,20.0,A,1
21,M,Urban,GT3,Together,2,4,teacher,health,3,0,1,1,0,0,1,1,1,0,1,3,4,1,1,2,2.0,16.0,17.0,23.0,0.8826694078578898,0.7414619725601512,6.486658809416173,11.0,26.0,20.0,A,1
18,M,Urban,GT3,Together,3,4,health,services,2,0,0,1,1,1,0,1,1,1,1,1,1,4,1,1,1.0,15.0,16.0,19.0,0.7988075849639753,0.6037905126165054,9.007391207697848,10.0,29.0,18.0,A,1
22,F,Urban,GT3,Apart,4,3,services,services,1,1,0,0,1,0,1,1,1,0,2,4,4,4,3,5,0.0,10.0,9.0,14.0,0.39331908584310493,0.41721875695837823,4.537633111431437,9.0,25.0,9.0,F,0
17,F,Urban,LE3,Together,2,2,other,other,3,0,1,1,1,0,1,1,1,0,1,3,2,2,2,5,0.0,20.0,20.0,18.0,0.9935092430130374,0.9319262844847749,8.32729188788069,17.0,37.0,20.0,A,1
16,F,Urban,LE3,Together,4,2,other,at_home,3,0,1,0,1,0,1,1,1,1,1,2,1,5,2,3,3.0,13.0,15.0,13.0,0.640996500926399,0.8178004654801934,8.965153335673893,15.0,35.0,20.0,A,1
20,F,Urban,GT3,Together,2,1,teacher,services,2,3,1,0,1,1,1,1,1,0,2,2,2,2,2,4,0.0,9.0,8.0,10.0,0.32650397314987123,0.46802291362774984,4.6379604366450975,7.0,38.0,6.0,F,0
20,F,Urban,LE3,Together,0,3,other,at_home,2,0,1,0,1,0,0,1,0,1,2,4,2,1,1,1,7.0,15.0,15.0,20.0,0.5765102369379674,0.7080686633920559,7.497406280196465,15.0,40.0,19.0,A,1
16,M,Urban,LE3,Together,2,3,services,other,4,0,0,1,0,0,0,1,1,0,2,3,3,3,1,1,0.0,19.0,17.0,23.0,0.6531573044434518,0.7479629254532358,10.0,13.0,37.0,20.0,A,1
21,M,Urban,GT3,Together,2,2,services,services,2,0,0,0,1,0,1,1,1,0,1,3,2,1,3,4,5.0,15.0,15.0,15.0,0.7618057312363823,0.6303399007898909,5.8219108705381775,9.0,40.0,16.0,A,1
16,M,Urban,LE3,Together,3,3,other,at_home,2,0,1,1,0,1,1,1,1,0,1,1,4,1,2,4,2.0,16.0,17.0,21.0,0.6676476571120311,0.9014794594565688,5.409679650333519,15.0,47.0,18.0,A,1
21,M,Rural,GT3,Apart,2,4,other,at_home,2,0,1,1,1,0,0,1,1,0,1,1,2,1,3,5,10.0,15.0,12.0,19.0,0.5062221509525195,0.7103860039102016,8.840149359185402,10.0,26.0,17.0,A,1
15,F,Urban,GT3,Together,3,1,other,other,2,0,1,1,0,0,1,1,0,0,1,2,1,2,1,2,6.0,15.0,13.0,20.0,0.6179843794981265,0.7664624349150864,6.999148014614381,16.0,39.0,18.0,A,1
21,M,Urban,GT3,Together,4,3,other,other,3,2,0,0,0,1,1,1,1,1,2,4,2,3,4,3,12.0,12.0,10.0,14.0,0.6884381457653936,0.7220674411489563,8.129202688216008,14.0,32.0,12.0,C,1
21,F,Urban,GT3,Together,3,3,health,other,2,0,1,1,1,1,1,1,1,0,2,1,3,3,2,4,4.0,15.0,17.0,16.0,0.7800548197206725,0.7965179840877497,9.133723115220452,10.0,42.0,20.0,A,1
21,F,Urban,LE3,Together,2,2,other,services,2,0,0,1,0,0,1,1,1,1,3,1,1,4,3,1,9.0,12.0,9.0,17.0,0.5376796037600837,0.49533524521061684,6.123132529030389,8.0,18.0,15.0,B,1
20,F,Urban,GT3,Together,3,3,other,at_home,1,0,0,1,0,0,0,1,0,0,3,5,1,4,2,5,0.0,19.0,19.0,19.0,0.9216181312362725,0.9314950473921069,8.05670336914688,13.0,47.0,20.0,A,1
18,M,Rural,LE3,Apart,4,3,at_home,other,3,1,0,1,0,1,1,1,1,0,1,2,1,2,2,2,1.0,13.0,15.0,15.0,0.5165632637826049,0.7793418150165706,6.601251138121061,16.0,41.0,19.0,A,1
20,M,Rural,GT3,Together,3,2,services,services,1,0,0,0,1,1,0,1,1,0,1,1,2,4,4,1,3.0,13.0,14.0,14.0,0.7814700980961973,0.6629345718320907,4.880082477607411,9.0,37.0,14.0,B,1
17,F,Urban,LE3,Together,2,2,other,other,1,0,1,1,0,1,1,1,0,0,3,5,5,1,1,4,4.0,9.0,9.0,12.0,0.37720766696109354,0.5775442079906254,4.967810088911699,11.0,18.0,14.0,B,1
21,F,Urban,LE3,Apart,3,4,health,services,2,3,0,0,0,1,0,1,1,0,1,3,3,3,1,5,4.0,5.0,6.0,6.0,0.19998356927002792,0.42411495016449247,5.7586597452020865,6.0,12.0,3.0,F,0
19,F,Rural,GT3,Together,3,2,services,at_home,2,0,1,1,1,1,1,0,1,0,2,1,1,1,1,3,0.0,17.0,19.0,21.0,0.756826141154627,0.784899825289336,10.0,15.0,45.0,20.0,A,1
18,F,Urban,GT3,Apart,3,3,other,at_home,4,0,0,0,1,1,1,1,1,0,2,3,1,1,5,1,1.0,20.0,20.0,26.0,0.7204565680879098,0.9517248350882495,10.0,13.0,46.0,20.0,A,1
19,F,Urban,GT3,Together,2,3,other,at_home,3,0,0,1,0,0,1,1,1,0,2,1,1,1,5,1,9.0,19.0,15.0,19.0,0.6534775823894526,0.7267357196618992,9.910892952491238,17.0,50.0,20.0,A,1
19,M,Urban,GT3,Together,4,4,other,other,3,0,0,1,1,1,1,1,1,0,1,2,1,1,3,2,2.0,14.0,16.0,21.0,0.7836495178188436,0.6857412401407889,4.595054440021141,14.0,34.0,20.0,A,1
15,F,Urban,LE3,Apart,2,3,other,health,2,3,0,0,0,1,1,1,0,0,1,5,3,5,2,3,7.0,10.0,11.0,17.0,0.509156578481361,0.5629566251042762,5.7288602871185486,6.0,21.0,6.0,F,0
16,M,Rural,GT3,Apart,2,4,teacher,at_home,2,0,1,1,1,1,0,1,1,0,1,4,4,2,1,4,1.0,18.0,18.0,23.0,0.632414593227757,0.8693860760924174,6.4006555779987035,13.0,46.0,20.0,A,1
16,F,Urban,LE3,Apart,2,3,other,other,4,0,0,0,0,0,1,1,0,0,1,3,3,4,4,4,3.0,20.0,17.0,22.0,0.8728150342230724,0.956911226096576,8.626421132329437,15.0,46.0,20.0,A,1
